date,market,brand,asin,title,list_cat,list_rank,bsr_main,bsr_main_cat,bsr_sub,bsr_sub_cat,bought,bought_period,src,parent_asin,price,currency,rating,reviews
2026-08-02,US,medicube,B09V7Z4TJG,"medicube Toner Pads Zero Pore Pad 2.0 | Dual-Textured Facial Pad for Exfoliation and Pore Care with 4.5% AHA Lactic Acid, 0.45% BHA Salicylic Acid | Ideal for All, Korean Skin Care, 70 Pads (1 Pack)",Beauty,1,1,Beauty & Personal Care,1,Facial Toners & Astringents,129900,week,dp,B0GCMKDSJB,20.99,USD,4.6,28934
2026-08-02,US,BIODANCE,B0B2RM68G2,"BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Face Mask, Pore Minimizing, Elasticity, Plumping, Travel Essentials & Self Care Gifts for Women, Korean Skin Care | 1.19oz(34g) x 4ea",Beauty,8,8,Beauty & Personal Care,1,Facial Masks,100000,month,dp,B0FPMN9D69,19.0,USD,4.5,44466
2026-08-02,US,medicube,B0DBF65JYY,"medicube PDRN Pink Peptide Serum with Salmon DNA | Pink Glow Serum with Peptides & Niacinamide for Hydration & Firm-Looking Skin | Uneven Tone Care | Korean Skincare, 1.01 fl. Oz",Beauty,15,15,Beauty & Personal Care,1,Facial Serums,70000,month,dp,B0GWMM2QRN,18.9,USD,4.7,19347
2026-08-02,US,medicube,B0DYTQ5GYQ,"medicube Facial Cleanser Zero Pore Capsule Cleansing Foam | Daily Gentle Cleanser for Skin Texture, Blackhead & Pore Care - AHA, BHA & PHA for Deep Cleansing, Korean Skincare, 4.23 oz",Beauty,23,23,Beauty & Personal Care,4,Facial Cleansing Products,25980,week,dp,B0GK125F3B,14.9,USD,4.7,3415
2026-08-02,US,medicube,B0BRMYHMS5,"medicube Wrapping Mask Collagen Overnight Peel Off Facial Mask | Elasticity & Hydration Care, Reduces Sagging & Dullness | Hydrolyzed Collagen For Glowing Skin | Korean Skin Care, 2.53 fl.oz",Beauty,31,31,Beauty & Personal Care,2,Facial Masks,38970,week,dp,B0GCZR3LGK,18.9,USD,4.5,22128
2026-08-02,US,medicube,B0D2Z3GGCY,"medicube Capsule Cream with Deep Vitamin C | Liposome Vitamin C Golden Capsule for Radiance & Firm-Looking Skin | Hydrating Glow Gel Texture | Korean Skincare, 1.94 oz",Beauty,32,32,Beauty & Personal Care,3,Face Moisturizers,25980,week,dp,B0GF1RYJT6,18.9,USD,4.6,14555
2026-08-02,US,medicube,B0DGTMR754,"medicube Jelly Gel Mask with Salmon DNA PDRN Pink Collagen | Overnight Face Mask for Glass Glow Skin | Elasticity, Hydrating, Firming and Moisturizing | Korean Skincare, 28g x 4ea",Beauty,46,,,,,,,list,,,USD,,
2026-08-02,US,medicube,B0GHMZXX8Y,"medicube PDRN Pink Collagen Volume Multi Balm Stick - Face & Body Balm | Volufiline, PDRN, NAD, Collagen - Under-Eyes, Neck, Forehead, Smile Lines, Lips, Plumping & Radiance for Line Care, K-Beauty 0.35 Ounce (Pack of 1)",Beauty,48,,,,,80000,month,search,,,USD,3.9,
2026-08-02,US,BIODANCE,B0GD6R7CFJ,"BIODANCE Collagen Peptide Eye Patches, Anti Wrinkle & Smile Line Patches for Face, Under Eye Mask for Fine Lines & Eye Bags, Travel Essentials & Self Care Gifts for Women, Korean Skin Care (60 Count)",Beauty,60,60,Beauty & Personal Care,1,Eye Masks,38970,week,dp,B0H1RDP1NS,23.0,USD,4.6,2654
2026-08-02,US,medicube,B0CM2PPNMW,"medicube Jelly Cream with Collagen & Niacinamide, 3.71 fl.oz | Freeze-Dried Hydrolyzed Collagen for Skin Barrier Hydration &",Beauty,66,,,,,,,list,,19.98,USD,4.4,16582
2026-08-02,US,medicube,B0GCC2JV65,"medicube NAD EGF Firming Serum for Face & Neck | Anti-Aging Serum with EGF Peptide, NAD+ & Collagen | Wrinkle Appearance, Ela",Beauty,77,,,,,,,list,,35.99,USD,4.6,861
2026-08-02,US,Anua,B0DG1DQ2S7,"Anua Azelaic Acid 10 Hyaluron Redness Soothing Serum, Facial Serum for Blemish-Prone & Oily-Prone Skin, Lightweight & Hydrating Blemish Care, Hyaluronic Acid, Korean Skincare, 1.01 fl oz.",Beauty,88,88,Beauty & Personal Care,8,Facial Serums,70000,month,dp,B0DG1DQ2S7,22.0,USD,4.5,5726
2026-08-02,US,medicube,B0G38FGSKL,"medicube Eye Patch PDRN Caffeine Collagen | Gel Eye Patches for the appearance of Dark Circles, Undereye Bags | Firming, Age-Defying Care with Retinol, Collagen | Korean Skincare | 30 Pairs",Beauty,93,,,,,,,list,,,USD,,
2026-08-02,US,Anua,B0FVT77ZLL,"Anua PDRN Collagen Glow Facial Serum Spray, Hydrating Face Mist, Hyaluronic Acid, dewy glass finish, All Skin Types, Instant Plumping Hydration, Firming Care, Korean Skincare, 3.38 fl oz",Beauty,100,100,Beauty & Personal Care,2,Face Mists,50000,month,dp,B0GC587517,21.0,USD,4.5,5120
2026-08-02,US,d'Alba,B0BFQ9RD5B,"d'alba Piedmont Italian White Truffle First Spray Serum (3.38 fl oz) | Vegan Skin Care, Hydrating Face Moisturizer, Cakey Makeup Fix, Glow Serum for Radiant Skin, Non Comedogenic, Korean skincare",,,108,Beauty & Personal Care,3,Face Mists,30310,week,dp,B0GSW2DQ7P,34.39,USD,4.5,33452
2026-08-02,US,Melaxin,B0CNCL35CH,"Dr.Melaxin Collagen Multi Balm Stick, Calcium & Adenosine Korean Wrinkle Stick for Eye, Neck & Face, Firming Collagen Stick, Under Eye Balm for Dark Circles & Depuffing, Korean Skin Care, 0.31 oz",,,108,Beauty & Personal Care,7,Eye Treatment Products,70000,month,dp,B0CNCL35CH,19.0,USD,4.1,8524
2026-08-02,US,Anua,B0BVV8BNYJ,"Anua Heartleaf Quercetinol Pore Deep Cleansing Foam, Face wash for Pore Refining Cleanser, Hydrating Daily Facial Cleanser For Double Cleansing, Gentle Foaming with BHA, Korean Skincare, 5.07 fl.oz.",,,129,Beauty & Personal Care,8,Facial Cleansing Washes,60000,month,dp,B0BVV8BNYJ,13.0,USD,4.6,20416
2026-08-02,US,Anua,B0DWFLY18Y,"Anua PDRN Hyaluronic Acid 100 Moisturizing Cream, Lightweight, Non-Greasy Hydrating Face Moisturizer with Salmon DNA for Glass Skin, Korean Skincare (2.02 fl oz)",,,189,Beauty & Personal Care,10,Face Moisturizers,40000,month,dp,B0DWFLY18Y,24.0,USD,4.6,4429
2026-08-02,US,Anua,B0F384Y1KR,"ANUA 3-Step Glass Skin Beginner Set, Oil Cleanser and Face Wash with Facial Serum, Double Cleansing Daily Routine with Niacinamide, Korean Skin Care Set Brightening",,,,,,,10000,month,search,,45.0,USD,4.5,
2026-08-02,US,Anua,B0CLLV2T1P,"ANUA Niacinamide 10 + TXA 4 Serum, Dark Spot Care, Hyaluronic Acid, Tranexamic Acid, Lightweight & Hydrating All-in-One Daily Facial Serum for Glass Skin, Korean Skincare, 1.01 fl.oz 1.01 Fl Oz (Pack of 1)",,,,,,,30000,month,search,,21.85,USD,4.5,
2026-08-02,US,Anua,B0GKFD9ZQW,"ANUA Collagen Retinol Refining Gua Sha Cream, Neck Cream For Lifting & Firming, Jawline to Décolleté, Daily Moisturizer, Fine Line Care, Neck Massager, Korean Skin Care, 2.7fl.oz 2.71 Fl Oz (Pack of 1)",,,,,,,30000,month,search,,30.0,USD,4.5,
2026-08-02,US,Anua,B0BN2PX8V3,"Anua Heartleaf Pore Control Cleansing Oil, Pore Cleanser, Sebum Care, Gentle Melting Oil Cleanser for Face, Safe For All Skin Type, Daily Hydrating Makeup Remover, Korean Skin Care (6.76fl.oz)",,,236,Beauty & Personal Care,1,Makeup Cleansing Oils,50000,month,dp,B0BN2PX8V3,17.0,USD,4.4,28324
